A,B,C_in,,C_out,Y
0,0,0,,0,0
0,0,1,,0,1
0,1,0,,0,1
0,1,1,,1,0
1,0,0,,0,1
1,0,1,,1,0
1,1,0,,1,0
1,1,1,,1,1
